time;user;text;score1;score2;score3
15-07-11;锦墨罹;鸡心、鸡胗、肉筋 超……好……吃……;口味4(非常好);环境2(好);服务3(很好)
15-06-22;拼命三郎wxd;都是北京人，服务也别指望太好，上菜及时、态度和善就好了。板肠、驴肉的火烧都好吃，白火烧就很脆。推荐鸡翅。;口味3(很好);环境1(一般);服务2(好)
14-11-26;优雅的回味;它也是驴肉烧饼馆，女儿很爱吃他家的驴肉火烧！;口味4(非常好);环境1(一般);服务3(很好)
14-09-16  更新于09-16 00:40;温无sis;平时常吃。驴火、驴肉汤，拼个凉菜，烤两串鸡翅。和小井去的比较多。有一次演出完了和超哥、雷哥和恒志喝酒来着，喝了一个小二，比较舒服。;口味4(非常好);环境4(非常好);服务4(非常好)
14-04-02;jiuxihuan55;驴火的火烧太好吃了，松脆，特香，还是爱吃纯肉的，羊肉串、大腰子也不错！;口味4(非常好);环境3(很好);服务4(非常好)
13-02-04;小恐龙的幸福;下班后经常去味道不错噢。。特别是鸡翅。。鸡心。。还有驴火的味道也不错。。大家有时间去试试噢;口味2(好);环境2(好);服务2(好)
12-07-14;枇杷精;也有不少年了。先是烤串，后来又开了驴肉，一直觉得他家没照。羊肉串，鸡翅和心管我喜欢。  后来觉得那么回事了。就没再去过了;口味3(很好);环境1(一般);服务1(一般)
11-09-29;gafdhshsg;烧饼酥脆，驴肉鲜香，老板娘服务到位，小店人情味十足，小菜有特色，拌驴皮清口滑嫩，驴肉汤暖心热胃。赞！;口味4(非常好);环境2(好);服务4(非常好)
11-07-26;皮大王的妈妈;马路边的路边摊，肉香嫩极了，肉块很大。他们家的驴肉火烧太好吃了，在北京的那段时间，皮大王天天去啃一个，除了环境差点，其他都太好了;口味3(很好);环境1(一般);服务3(很好)
11-01-22;大猫爱老虎;这里的肉串和鸡翅不错。肉串烤的很到位，有肥有瘦的（最喜欢肥的了）。鸡翅，也很不错，喜欢微微甜甜的那种，鸡翅被中间弄断了，很入味的，而且鸡肉也很嫩的;口味3(很好);环境1(一般);服务1(一般)
10-11-24;略施粉黛的于;特别喜欢这家烤串店，虽然是路边摊，而且2元一串，但是肉香嫩极了，肉块很大。当我第一次尝这家店的时候觉得是所吃过烤串里最好吃的了。每一口都很过瘾。推荐他家的烤肉串，有点淡淡的甜味，每串中间会串一个肥肉，直流油啊烤的。;口味3(很好);环境0(差);服务1(一般)
10-06-01;我是飞儿;烤的各种食物，选择很多，味道都不错，感觉挺亲民的，就有一种拿着一大把大口咀嚼的冲动。很随意，不会束缚的感觉。烤翅5米，味道还好，个人对于烤翅，只要不是很甜，就都挺喜欢的，挺入味的，肉也不老。其他内脏类，虽然大家都说吃内脏对胆固醇有影响，但是不得不说这还是很具有诱惑力的。当然，为了营养，要搭配凉菜一起吃，而且烧烤类不要经常吃。;口味2(好);环境1(一般);服务2(好)
08-06-29;jetoy_mm;经他推荐，心里长草！迫不及待的想过去品尝！位置就在西河沿西口。很好找。我们先点了几个鸡翅，吃后，说实话，味道一般般。脆骨很难吃的。鸡肉串占着蒜茸辣酱就好吃了。;口味1(一般);环境1(一般);服务2(好)
08-06-07;晴朗的鑫;上次来过这里找羊脆骨，从街头穿到巷尾，一路也没找到，今天本打算去虎坊桥吃面的，结果关门了，就想到这家店了，就是和平门烤鸭店后面，胡同把口。来的时候已经快九点了，猪头已经吃过了，而且也不早了，就随便吃了些，肉筋，鸡胗，鸡脆骨都是1块钱一串，串不大，但味不错。鸡翅5元，羊鞭5元，大腰子6元，味都不错，不过它家的串偏咸，吃完一劲叫渴。凉菜要了豆腐丝，才4块钱，大瓶鲜橙多也很便宜，8元，物美价廉的小店，很是不错。门脸挺小，里面地方倒挺宽敞。还有大竹帘子，环境在吃串的店里算是不错了。;口味1(一般);环境1(一般);服务1(一般)
08-05-15;湘湘sabrina;蘑菇云是真的吗~蛤蟆过街是真的吗~这世界太神奇了~也太残酷了~祝福所以灾区的同胞们~~~本来是去吃脆骨的~找了一圈没找到~于是随便找了这家小馆~凉菜很少~很多都没货了~毛豆~花生~拍黄瓜~豆腐皮~我们要了三轮~直到没有货为止~烤羊肉串~这个还不错~肥瘦相间~肉还算嫩~烤羊肉筋~有点不是很烂~不过味道很好~烤鸡肫~没有想象的那么好吃~可能腌制时间不够长~烤鸡心~同上~烤鸡翅~原味的~里面有咖喱粉~味道很奇怪~不同于以往的烤翅~老板还把每个鸡翅从中间截断了~可能是为了入味~好熟~但是不方便吃呀~没有什么吃的~真的没有什么~最后还是祝福他们~~~--;口味1(一般);环境1(一般);服务1(一般)
08-05-15;土鳖三侠;价钱是估的，地震是真的。回来看到一帮众人说要庆祝劫后余生，地点是和平门附近的羊脆骨。离单位如此之近，欣然前往。一进门，人还真多，貌似看到没这么多人报名阿。顾不了这么多,传说晚上还有余震，先吃，谁知道有没下顿。肉串、肉筋、鸡心、鸡胗、鸡翅、大腰子招呼。实话说，这些串味到一般，没觉得有啥不同。鸡翅最搞，第一拨刚开始的拦腰给了一刀，切成两半。这小骨头真是嘎嘣脆。第二拨怎么就完整了。第三拨，这叫一个甜。敢情这第一拨是被中午震断的阿。后来吃完再点的时候，突然想起，不是号称相当好的羊脆骨还没吃呢。来点羊脆骨，这时才有人说，这里压根就没有羊脆骨。准确来说这里就不是当初说好的地方。服了。本来都快吃到最后要走人的时候，才发现坐后面得那桌，居然是公司的一个客户。打声招呼，吃饱闪人。;口味1(一般);环境1(一般);服务1(一般)
08-05-15;阿嘟㊣;古爷速度真迅猛……话说那天下午被晃了那么一下~吓死俺了~吓死俺了~下午就想组织欢唱一下呢~结果大部分人惊魂未定~未果~晚呗晌儿的~突然接芥兄电话~大家要把酒言欢~共庆劫后余生~那还等啥~多远也要直接杀过来~店家不难找~绕过和平门烤鸭子~后边的胡同进去就看到了~门口除灯箱外还圈了个“翅"字儿~一进门~那叫一个热闹~好几大桌子人呐~又到晚了~已是杯盘狼藉~一片签子~赶紧添料~烤串儿火候不错~肉也够嫩~红梅踏雪的调料很美很刺激~鸡翅又来了一拨~耶~居然是甜口的~耶~~~三侠大人的确够侠~居然客户遍天下~PFPF~吃饱喝足~转战欢唱~今夜不欢不归~~;口味1(一般);环境1(一般);服务1(一般)
08-05-15  更新于05-15 13:32;筱古;哈哈，谢谢嘟总添加，我掰个贡尖！！这是我们地震那天去的，忽悠了那么一下，给大家都忽悠明白了，撒叫银生啊，穷欢乐呗，得意就需尽欢啊（最近邯郸记也看多了）一忽悠，凑了10好几口子，本想去那和平门羊脆呢，结果从胡同口摸到胡同尾，没找着，进了这家儿，进门就问，有羊脆骨么，还就没有，只有鸡脆。店里人还真不少，透出地震反常来了，伙计却只有一个人，中途还出去买了次手纸，我估计。。。平时根本没人来。点了肉串、肉筋、鸡心、鸡胗、鸡翅、大腰子，还有不老少的，凉菜看着不少，能上来的只有毛豆、花生、黄瓜和豆腐丝儿，最后还让我们吃绝了，一怒下去边上那店又点了6个凉菜，嘟总，你敢把那家也填上么？？？菜点完了，上牛二、冰啤、鲜橙多，招呼着，别说，肉串烤的还真有点意思，肉新鲜，肥油烤的也透，鸡心我最爱啊，不错，鸡心很大，嘎嘎，鲜嫩多汁，一人报销好几串。鸡翅，最后一拨上来是甜口儿的，诡异。不过他家东西口都比较轻，我喜欢，一桌尽欢。席间异事，我们吃着，基本把所有客人都吃走了一轮，只后边一桌几个人还在那儿苦撑，我们不时以鄙薄的目光扫视，而人家视而不见，正此时，三侠愤而离坐，走过去抄起一哥们就给带后面去了，二两棉花~~~单谈。。。大家皆惊，黑SH啊，这人也哪儿哪儿他老大？？？太强了，当三侠沐浴在众人崇敬的目光下归坐后。。。原来是他客户。。。。;口味2(好);环境1(一般);服务1(一般)
