time;user;text;score1;score2;score3
15-05-18;原五星上将;这是北京的一家老字号了，位置好在琉璃厂把口，装修是老样，生产的各种笔墨那是中外有名，文房四宝那是中国文人必备之物，来到一得阁基本全解决了…;产品2(好);环境2(好);服务2(好)
14-10-11;minozjessica;好出名的一家店铺。。慕名而来。。;产品3(很好);环境3(很好);服务2(好)
14-06-19;baizi89;原来小时候用的一得阁墨水居然是个老字号的牌子，琉璃厂见真容，;产品2(好);环境2(好);服务2(好)
13-12-18;爱做梦的羊Elf;只要是懂一点的。都愿意用他家的墨。也算是品牌的了~以前刚接触这些东西的时候，老师点名让用它，之后换着试了下别的，就再也没用过别家的。;产品4(非常好);环境4(非常好);服务4(非常好)
13-05-31;像邓小可一样丢三落四;这边倒是真的挺少去的 ，主要是送给爷爷用的那，爷爷喜欢写写书画啥的，空闲的时间比较多，爱好无非就是养养花啊，写写字什么的，其实我对墨也不懂，上学的时候都没有怎么用过，不过拿回去爷爷知道是在这边给买的还挺高兴的，当时就拆封了，好好闻的一股子香气，特舒服的味道，爷爷马上就用了啊，我虽然看不出什么的，但是爷爷说是颜色很正，很漂亮;产品2(好);环境2(好);服务2(好)
13-05-28;多吃水果腰细细;小的时候用的都是一得阁的墨汁，现在看到了也很有亲切感，希望能有自己研磨的心境和机会。;产品4(非常好);环境4(非常好);服务4(非常好)
12-12-01;篮球手仙道彰;一得阁墨汁，各种小时候练字的回忆。一得阁的墨香是其他家永远没有的一种韵味。多少年的记忆被私藏，美丽的地方已经被景点化，失去的回不来。;产品3(很好);环境3(很好);服务2(好)
12-02-05;summer6000;从很小的时候刚学写毛笔字的时候就知道一得阁的墨汁是最好的，颜色饱满醇厚，味道也是那种浓浓的墨香，是书画绘画的首选~;产品3(很好);环境3(很好);服务3(很好)
11-09-04;catmouse1972;一得阁的墨是很有群众基础的。在书法人心中，这种墨是常规必备墨品。写出来的字乌黑油亮，让原本秀色可餐的书法线条更增加一份精气神儿。;产品3(很好);环境3(很好);服务3(很好)
10-12-06;透明彩虹餹;老字號啊，墨汁不錯那，上學的時候老會買的，因為那會兒要寫毛筆字什麼的，她家的墨真的特好，老師都說覺得特好用那，狠喜歡;产品1(一般);环境1(一般);服务1(一般)
10-06-01;我是飞儿;感觉很棒的老字号，从小就知道用这个牌子的墨汁儿，颜色禁得起事件的考验。还卖其他的文房四宝，都是很专业的人来选购的。旁边有个小院儿门儿上有块儿一得阁的匾，不知道是不是前店后厂一类的。现在旁边还开了艺术馆和家具店，没事儿去逛逛，也是一种文化的熏陶。;产品2(好);环境3(很好);服务2(好)
10-04-23;xps720;老字号了，至今无人能出其右。喜欢它家墨的味道，上学的时候总是和学习书法的同学一起来买它家的墨，就没用过别家的。好使，颜色很正;产品3(很好);环境2(好);服务2(好)
10-03-20  更新于03-20 21:56;清香阁上看江水;我用的就是“一得阁”的墨汁。的确好。有股子清香味道。墨是写书法，画水墨画不可或缺的材料。古人云：“有佳墨，犹如名将之有良马”。墨色的浓淡变化，直接影响着书法的韵味，与绘画的色彩层次。好的墨汁，干燥后，墨色纯正，不发灰。;产品3(很好);环境2(好);服务2(好)
10-03-19;飘飘姐;小时候要是能有一瓶一得阁的墨水，可是太牛了，离门口还很远呢就能闻到墨水的味道，过去还买墨自己研，现在的学生还研磨吗。;产品3(很好);环境2(好);服务2(好)
10-03-17;魏大拿;现在小孩们还有书法课么？我记得我小时候上书法课，都是买一得阁的墨汁！有股子清香味道！现在小孩子们恐怕连毛笔怎么拿都不会了吧？！;产品3(很好);环境2(好);服务2(好)
08-07-29;fly晓朦fly;小学刚开始学习毛笔字的时候，就来这里买过笔、墨、纸，还有毛毡，一得阁的墨汁，老字号了嘛，很有名的！东西一准的正宗！绝对放心！关键是价格也不错，不贵！;产品2(好);环境1(一般);服务2(好)
