ID;weibo_poiid;;dianping_id;;classification;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count
0;B2094654D169A1FE489C;B2094750D26FA3FC459F;508125;;2;全聚德(和平门店);;西城区前门西大街14号楼(和平门地铁站C口);;;;;39.89929;116.38506;39.89789286;116.3788241;;;4852;9258
1;B2094654D36EAAFC4393;;3621298;;4;中联鑫华酒店;;北京市西城区前门西大街甲10号(全聚德烤鸭店(和平门店)的东侧);;;;;39.89966;116.38581;39.89826231;116.3795735;;;37;69
2;B2094753DA65A0F94392;;;;0;佛罗伦萨小镇;;北京市 天津市武清区;;;;;39.900222;116.385658;39.89882439;116.3794215;;;68;
3;B2094757D16FA7FE409D;;;;6;厂甸庙会;;西城区虎坊桥至和平门;;;;;39.89934;116.38464;39.89794316;116.3784045;;;33;
4;B2094654D16BA5FF419F;;;;5;华夏银行和平门支行;;东城区前门西大街14号;;;;;39.89926;116.38465;39.89786316;116.3784145;;;7;
5;B2094757D16EA7FC419F;;510496;;2;老上海城隍庙小吃(和平门店);;西城区前门西大街75号;;;;;39.90013;116.38685;39.89873158;116.3806126;;;34;303
6;B2094654D66DA2F44092;;;;5;北京供电局;;;;;;;39.90037;116.38988;39.89896976;116.3836405;;;22;
7;B2094654D36EAAFC4998;;507786;;2;老舍茶馆 前门店;;西城区前门西大街正阳市场3号楼(近国家供电局);;;;;39.89974;116.39336;39.89833817;116.3871188;;;2602;2459
8;B2094654D66DA5F9449F;;;;6;前门西;;;;;;;39.90028;116.3937;39.89887801;116.3874586;;;146;
9;B2094654D36EAAFC479E;;510057;;2;泰丰楼;;西城区前门西大街2号;;;;;39.90004;116.39157;39.89863893;116.3853296;;;54;410
10;B2094751D268A5F5429C;;;;0;必胜客(庄胜崇光店);;西城区宣武门外大街8号庄胜崇光百货新馆B1楼(近宣武门地铁站);;;;;39.89957;116.393378;39.89816817;116.3871369;;;37;
11;B2094654D36EAAFC499B;;510754;;2;顺潮龙大酒楼;;西城区前门西大街正阳市场3号楼;;;;;39.8997;116.39311;39.89829827;116.3868689;;;4;20
12;B2094654D164ABFB429B;;1766416;;1;正阳商城;;北京市宣武区前门西河沿13号;;;;;39.89974;116.39335;39.89833817;116.3871088;;;3;4
13;B2094654D36EAAFC4793;;1756999;;1;国美电器商城前门西大街店;;西城区前门路口西;;;;;39.89976;116.39215;39.89835867;116.3859094;;;6;19
14;B2094654D36EAAFD4899;;5114900;;1;扎西德勒藏文化前门旗舰总店;;东城区大栅栏西街56号(前门大街西侧);;;;;39.89969;116.39427;39.89828783;116.3880285;;;3;5
15;B2094654D36EAAFD4099;;3494539;;3;正乙祠戏楼;;东城区前门西河沿220号(近琉璃厂路);;;;;39.89881;116.38603;39.89741219;116.3797934;;;1103;296
16;B2094654D36EAAFE489E;;;;5;北京师大附中;;北京市西城区南新华街18号;;;;;39.89794;116.38486;39.89654306;116.3786245;;;365;
17;B2094654D36EAAFD409B;;;;3;全聚德展览馆;;前门西河沿街217号;;;;;39.89895;116.38515;39.89755281;116.3789141;;;75;
18;B2094654D36EAAFC4993;;2512588;;1;孙记串吧;;西城区和平门南新华街瑞驰酒店南(近前门西河沿街);;;;;39.899348;116.384472;39.89795129;116.3782366;;;6;18
19;B2094757D065A3FC4092;;;;4;中国全聚德(集团)股份有限公司;;北京市西城区前门西河沿街217号;;;;;39.89895359;116.3851525;39.89755639;116.3789166;;;7;
20;B2094752D664A3FE4599;B209475CD069A7FA4593;9034934;;2;和平自酿酒馆;;西城区西河沿街200号;;;;;39.899128;116.386155;39.89773009;116.3799182;;;58;361
21;B2094654D16EA3F9439E;;;;3;北京市宣武区少年美术馆(和平门邮电局东);;;;;;;39.89919;116.38637;39.89779194;116.3801331;;;6;
22;B2094654D36EAAFE4898;;;;5;北京师范大学附属中学(南门);;南新华街18;;;;;39.89739;116.38483;39.89599311;116.3785945;;;23;
23;B2094654D66DA0F44999;;;;0;果子巷;;宣武区果子巷;;;;;39.895444;116.385121;39.89404699;116.3788856;;;43;
24;B2094757DA64A5FE4798;;;;5;小黑屋;;前门西河沿111号;;;;;39.897995;116.385322;39.89659773;116.3790861;;;11;
25;B2094654D36EAAFE4693;;;;5;厂甸11号院;;厂甸11号院;;;;;39.89649;116.38574;39.8950925;116.3795039;;;15;
26;B2094757D16BA2FE449B;;;;0;西长安街88号;;北京西长安街88号;;;;;39.896687;116.385251;39.89528984;116.3790153;;;18;
27;B2094654D36EAAFE4798;;;;5;厂甸甲9号院;;;;;;;39.89606;116.38571;39.89466254;116.379474;;;5;
